# Design Points of Design of Experiments
# Central Composite Design : Face-Centered : Enhanced
# ,P1 - DS_Bar_length@Extrude1@Trohanterna_sipka.Part,P2 - DS_Bar_diameter@Sketch1@Trohanterna_sipka.Part,P3 - DS_Bar_end_thickness@Sketch2@Trohanterna_sipka.Part,P4 - DS_Radius_trochanteric_unit@Fillet1@Trohanterna_sipka.Part,P5 - DS_Radius_bar_end@Sketch2@Trohanterna_sipka.Part,P6 - DS_clamp_distance@Distance3@Sklop_Femur-Fiksator.Assembly,P7 - Total Deformation Maximum (mm) ,P8 - Equivalent Stress - Fiksator Maximum (MPa) ,P9 - Total Mass (kg) ,P10 - Upper Femur Mass (kg) ,P11 - Lower Femur Mass (kg) ,P12 - Fixator Mass (kg) 
Name,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
1,175,9,5.25,6.5,8,14.5,8.8509850774515542,261.8651188849858,0.79743905986582786,0.16287783274399362,0.38184452517446155,0.24916690194737273
2,100,9,5.25,6.5,8,14.5,10.565059157804608,324.38395727681444,0.75996736108203711,0.16287135731020647,0.38183207413017167,0.21171412964165903
3,137.5,9,5.25,6.5,8,14.5,9.6225478483612648,308.92521272014824,0.7787394049954024,0.16287219832880256,0.38187689087208426,0.23044051579451552
4,250,9,5.25,6.5,8,14.5,7.609888480743277,206.27690770461342,0.83456653360657251,0.16288393399558568,0.38151312535790027,0.2866196742530866
5,212.5,9,5.25,6.5,8,14.5,8.1902923860000243,225.4225973474023,0.81604044724125,0.16288024706822471,0.38171711207279563,0.26789328810022972
6,175,8,5.25,6.5,8,14.5,9.2465584108296248,322.56479376646939,0.78159452035700794,0.16287648259592574,0.38184856791737809,0.23331966984370406
7,175,8.5,5.25,6.5,8,14.5,9.05041793949441,276.41021992893542,0.7893032927966489,0.16287711834885085,0.38184644877143104,0.241029925676367
8,175,10,5.25,6.5,8,14.5,8.5014565215719831,257.10175001031064,0.81490233957577185,0.16287937941040789,0.38184077905537483,0.26663238110998916
9,175,9.5,5.25,6.5,8,14.5,8.6727177330540979,262.13737935282069,0.80595799159616011,0.16287850650958866,0.38184211611631697,0.25768756897025447
10,175,9,4,6.5,8,14.5,8.933219865387974,395.05243966959716,0.79534243545836647,0.1628778448554942,0.38184447009639483,0.24707032050647748
11,175,9,4.625,6.5,8,14.5,8.8856982177904626,328.56080464559523,0.79637964765146707,0.16287784485549417,0.38184452038860311,0.24810748240736979
12,175,9,6.5,6.5,8,14.5,8.8129851900999583,223.5978195593591,0.79940264671658845,0.1628778529458933,0.38184448583807706,0.2511305079326181
13,175,9,5.875,6.5,8,14.5,8.8287537829814742,241.50496837991111,0.798449100934623,0.16287785294589333,0.38184448583807679,0.25017696215065288
14,175,9,5.25,3,8,14.5,8.8522792613814278,258.77359929582008,0.79738547112550517,0.1628778448554942,0.38184450381506324,0.24911332245494777
15,175,9,5.25,4.75,8,14.5,8.8516065407638624,265.11004877431242,0.79740775700772637,0.1628778382973764,0.38184442324872547,0.24913569546162445
16,175,9,5.25,10,8,14.5,8.8509344767073621,259.04904622085024,0.797532757241393,0.16287784638777547,0.38184439970710277,0.24926071114651482
17,175,9,5.25,8.25,8,14.5,8.8513841706381537,260.1067946370282,0.79748060369446239,0.1628778529458933,0.38184448027344048,0.24920847047512862
18,175,9,5.25,6.5,6,14.5,8.8539121290709115,259.90104405994333,0.79733299633846078,0.1628778448554942,0.38184452524074386,0.24906082624222275
19,175,9,5.25,6.5,7,14.5,8.85153454523726,268.67749837913334,0.79738900257936374,0.1628778382973764,0.38184444467440609,0.24911691960758131
20,175,9,5.25,6.5,10,14.5,8.8511687033149329,260.60309172378527,0.79752164400569825,0.16287784638777547,0.38184438897521772,0.24924960864270507
21,175,9,5.25,6.5,9,14.5,8.8528672343202466,261.46464387840967,0.79748134602226561,0.16287785294589333,0.3818444695415556,0.24920922353481673
22,175,9,5.25,6.5,8,1,8.85593879044726,258.43899881711542,0.79743171509546573,0.16287784485549417,0.38183716829259839,0.24916690194737318
23,175,9,5.25,6.5,8,7.75,8.8504595018340115,255.50609241790863,0.79743605821807162,0.1628778448554942,0.38184151141520428,0.24916690194737318
24,175,9,5.25,6.5,8,28,8.8551041028601745,256.65075210508587,0.79744182948665066,0.1628778529458933,0.38184727459338447,0.2491669019473729
